,timestamp,model,example_length,target,prediction,correct
0,142234,CBOW,4,2,2,1
1,142234,CBOW,21,3,3,1
2,142234,CBOW,23,4,4,1
3,142234,CBOW,26,2,1,0
4,142234,CBOW,9,4,4,1
5,142234,CBOW,20,3,2,0
6,142234,CBOW,22,3,2,0
7,142234,CBOW,7,3,4,0
8,142234,CBOW,14,3,4,0
9,142234,CBOW,15,4,4,1
10,142234,CBOW,13,3,3,1
11,142234,CBOW,24,3,3,1
12,142234,CBOW,10,4,4,1
13,142234,CBOW,12,2,1,0
14,142234,CBOW,24,3,1,0
15,142234,CBOW,6,2,2,1
16,142234,CBOW,8,4,4,1
17,142234,CBOW,17,3,3,1
18,142234,CBOW,11,4,4,1
19,142234,CBOW,9,4,4,1
20,142234,CBOW,37,4,4,1
21,142234,CBOW,16,2,3,0
22,142234,CBOW,23,3,3,1
23,142234,CBOW,16,3,4,0
24,142234,CBOW,9,3,2,0
25,142234,CBOW,14,3,3,1
26,142234,CBOW,19,3,1,0
27,142234,CBOW,23,1,1,1
28,142234,CBOW,22,3,3,1
29,142234,CBOW,13,4,2,0
30,142234,CBOW,20,4,3,0
31,142234,CBOW,6,2,2,1
32,142234,CBOW,29,3,2,0
33,142234,CBOW,33,3,1,0
34,142234,CBOW,17,1,2,0
35,142234,CBOW,18,3,3,1
36,142234,CBOW,13,3,3,1
37,142234,CBOW,42,3,3,1
38,142234,CBOW,22,1,2,0
39,142234,CBOW,14,2,1,0
40,142234,CBOW,20,4,2,0
41,142234,CBOW,22,0,0,1
42,142234,CBOW,14,4,3,0
43,142234,CBOW,16,4,4,1
44,142234,CBOW,18,3,2,0
45,142234,CBOW,29,2,2,1
46,142234,CBOW,13,4,3,0
47,142234,CBOW,24,3,4,0
48,142234,CBOW,8,4,2,0
49,142234,CBOW,38,3,3,1
50,142234,CBOW,9,3,3,1
51,142234,CBOW,13,3,0,0
52,142234,CBOW,20,3,2,0
53,142234,CBOW,11,4,4,1
54,142234,CBOW,22,3,3,1
55,142234,CBOW,24,3,2,0
56,142234,CBOW,21,3,3,1
57,142234,CBOW,15,2,3,0
58,142234,CBOW,12,3,3,1
59,142234,CBOW,14,3,1,0
60,142234,CBOW,23,2,2,1
61,142234,CBOW,20,3,2,0
62,142234,CBOW,12,3,3,1
63,142234,CBOW,25,2,4,0
64,142234,CBOW,23,1,2,0
65,142234,CBOW,25,3,2,0
66,142234,CBOW,7,4,4,1
67,142234,CBOW,26,4,4,1
68,142234,CBOW,19,4,4,1
69,142234,CBOW,20,4,3,0
70,142234,CBOW,24,2,4,0
71,142234,CBOW,4,4,4,1
72,142234,CBOW,8,4,3,0
73,142234,CBOW,23,4,2,0
74,142234,CBOW,11,3,3,1
75,142234,CBOW,22,1,2,0
76,142234,CBOW,24,4,1,0
77,142234,CBOW,27,3,4,0
78,142234,CBOW,24,3,3,1
79,142234,CBOW,17,2,1,0
80,142234,CBOW,19,3,3,1
81,142234,CBOW,15,4,3,0
82,142234,CBOW,19,3,3,1
83,142234,CBOW,31,3,4,0
84,142234,CBOW,23,4,3,0
85,142234,CBOW,20,4,1,0
86,142234,CBOW,40,4,3,0
87,142234,CBOW,9,4,3,0
88,142234,CBOW,37,3,3,1
89,142234,CBOW,21,3,2,0
90,142234,CBOW,34,1,1,1
91,142234,CBOW,16,3,2,0
92,142234,CBOW,22,0,1,0
93,142234,CBOW,18,3,2,0
94,142234,CBOW,22,3,2,0
95,142234,CBOW,7,4,2,0
96,142234,CBOW,24,2,1,0
97,142234,CBOW,14,4,3,0
98,142234,CBOW,13,3,2,0
99,142234,CBOW,26,4,4,1
100,142234,CBOW,35,3,2,0
101,142234,CBOW,24,3,3,1
102,142234,CBOW,18,4,3,0
103,142234,CBOW,14,3,4,0
104,142234,CBOW,27,3,3,1
105,142234,CBOW,22,4,3,0
106,142234,CBOW,33,3,3,1
107,142234,CBOW,11,4,3,0
108,142234,CBOW,36,3,2,0
109,142234,CBOW,10,3,3,1
110,142234,CBOW,29,2,2,1
111,142234,CBOW,15,2,4,0
112,142234,CBOW,22,4,4,1
113,142234,CBOW,35,3,4,0
114,142234,CBOW,6,2,2,1
115,142234,CBOW,25,4,2,0
116,142234,CBOW,10,3,4,0
117,142234,CBOW,26,1,1,1
118,142234,CBOW,15,3,2,0
119,142234,CBOW,28,2,3,0
120,142234,CBOW,40,3,4,0
121,142234,CBOW,24,4,3,0
122,142234,CBOW,18,4,4,1
123,142234,CBOW,26,4,3,0
124,142234,CBOW,6,2,3,0
125,142234,CBOW,21,3,4,0
126,142234,CBOW,19,3,1,0
127,142234,CBOW,34,4,3,0
128,142234,CBOW,15,3,2,0
129,142234,CBOW,19,3,1,0
130,142234,CBOW,12,1,2,0
131,142234,CBOW,7,4,2,0
132,142234,CBOW,9,4,1,0
133,142234,CBOW,9,3,3,1
134,142234,CBOW,16,4,4,1
