,timestamp,model,example_length,target,prediction,correct
0,143142,DeepCBOW,4,2,2,1
1,143142,DeepCBOW,21,3,3,1
2,143142,DeepCBOW,23,4,3,0
3,143142,DeepCBOW,26,2,3,0
4,143142,DeepCBOW,9,4,4,1
5,143142,DeepCBOW,20,3,1,0
6,143142,DeepCBOW,22,3,2,0
7,143142,DeepCBOW,7,3,2,0
8,143142,DeepCBOW,14,3,4,0
9,143142,DeepCBOW,15,4,4,1
10,143142,DeepCBOW,13,3,3,1
11,143142,DeepCBOW,24,3,3,1
12,143142,DeepCBOW,10,4,0,0
13,143142,DeepCBOW,12,2,1,0
14,143142,DeepCBOW,24,3,1,0
15,143142,DeepCBOW,6,2,2,1
16,143142,DeepCBOW,8,4,4,1
17,143142,DeepCBOW,17,3,3,1
18,143142,DeepCBOW,11,4,4,1
19,143142,DeepCBOW,9,4,4,1
20,143142,DeepCBOW,37,4,4,1
21,143142,DeepCBOW,16,2,3,0
22,143142,DeepCBOW,23,3,3,1
23,143142,DeepCBOW,16,3,1,0
24,143142,DeepCBOW,9,3,3,1
25,143142,DeepCBOW,14,3,3,1
26,143142,DeepCBOW,19,3,2,0
27,143142,DeepCBOW,23,1,1,1
28,143142,DeepCBOW,22,3,0,0
29,143142,DeepCBOW,13,4,0,0
30,143142,DeepCBOW,20,4,4,1
31,143142,DeepCBOW,6,2,2,1
32,143142,DeepCBOW,29,3,1,0
33,143142,DeepCBOW,33,3,1,0
34,143142,DeepCBOW,17,1,2,0
35,143142,DeepCBOW,18,3,4,0
36,143142,DeepCBOW,13,3,2,0
37,143142,DeepCBOW,42,3,4,0
38,143142,DeepCBOW,22,1,3,0
39,143142,DeepCBOW,14,2,1,0
40,143142,DeepCBOW,20,4,1,0
41,143142,DeepCBOW,22,0,1,0
42,143142,DeepCBOW,14,4,3,0
43,143142,DeepCBOW,16,4,3,0
44,143142,DeepCBOW,18,3,3,1
45,143142,DeepCBOW,29,2,2,1
46,143142,DeepCBOW,13,4,3,0
47,143142,DeepCBOW,24,3,3,1
48,143142,DeepCBOW,8,4,4,1
49,143142,DeepCBOW,38,3,2,0
50,143142,DeepCBOW,9,3,2,0
51,143142,DeepCBOW,13,3,2,0
52,143142,DeepCBOW,20,3,2,0
53,143142,DeepCBOW,11,4,4,1
54,143142,DeepCBOW,22,3,4,0
55,143142,DeepCBOW,24,3,2,0
56,143142,DeepCBOW,21,3,3,1
57,143142,DeepCBOW,15,2,1,0
58,143142,DeepCBOW,12,3,4,0
59,143142,DeepCBOW,14,3,4,0
60,143142,DeepCBOW,23,2,3,0
61,143142,DeepCBOW,20,3,3,1
62,143142,DeepCBOW,12,3,4,0
63,143142,DeepCBOW,25,2,3,0
64,143142,DeepCBOW,23,1,2,0
65,143142,DeepCBOW,25,3,1,0
66,143142,DeepCBOW,7,4,3,0
67,143142,DeepCBOW,26,4,4,1
68,143142,DeepCBOW,19,4,3,0
69,143142,DeepCBOW,20,4,4,1
70,143142,DeepCBOW,24,2,2,1
71,143142,DeepCBOW,4,4,3,0
72,143142,DeepCBOW,8,4,4,1
73,143142,DeepCBOW,23,4,1,0
74,143142,DeepCBOW,11,3,2,0
75,143142,DeepCBOW,22,1,1,1
76,143142,DeepCBOW,24,4,3,0
77,143142,DeepCBOW,27,3,4,0
78,143142,DeepCBOW,24,3,3,1
79,143142,DeepCBOW,17,2,3,0
80,143142,DeepCBOW,19,3,3,1
81,143142,DeepCBOW,15,4,3,0
82,143142,DeepCBOW,19,3,3,1
83,143142,DeepCBOW,31,3,3,1
84,143142,DeepCBOW,23,4,0,0
85,143142,DeepCBOW,20,4,3,0
86,143142,DeepCBOW,40,4,3,0
87,143142,DeepCBOW,9,4,2,0
88,143142,DeepCBOW,37,3,3,1
89,143142,DeepCBOW,21,3,3,1
90,143142,DeepCBOW,34,1,3,0
91,143142,DeepCBOW,16,3,0,0
92,143142,DeepCBOW,22,0,1,0
93,143142,DeepCBOW,18,3,1,0
94,143142,DeepCBOW,22,3,1,0
95,143142,DeepCBOW,7,4,2,0
96,143142,DeepCBOW,24,2,2,1
97,143142,DeepCBOW,14,4,3,0
98,143142,DeepCBOW,13,3,3,1
99,143142,DeepCBOW,26,4,3,0
100,143142,DeepCBOW,35,3,3,1
101,143142,DeepCBOW,24,3,3,1
102,143142,DeepCBOW,18,4,1,0
103,143142,DeepCBOW,14,3,1,0
104,143142,DeepCBOW,27,3,3,1
105,143142,DeepCBOW,22,4,3,0
106,143142,DeepCBOW,33,3,3,1
107,143142,DeepCBOW,11,4,3,0
108,143142,DeepCBOW,36,3,3,1
109,143142,DeepCBOW,10,3,3,1
110,143142,DeepCBOW,29,2,3,0
111,143142,DeepCBOW,15,2,4,0
112,143142,DeepCBOW,22,4,1,0
113,143142,DeepCBOW,35,3,3,1
114,143142,DeepCBOW,6,2,1,0
115,143142,DeepCBOW,25,4,3,0
116,143142,DeepCBOW,10,3,4,0
117,143142,DeepCBOW,26,1,1,1
118,143142,DeepCBOW,15,3,4,0
119,143142,DeepCBOW,28,2,3,0
120,143142,DeepCBOW,40,3,3,1
121,143142,DeepCBOW,24,4,3,0
122,143142,DeepCBOW,18,4,1,0
123,143142,DeepCBOW,26,4,2,0
124,143142,DeepCBOW,6,2,3,0
125,143142,DeepCBOW,21,3,4,0
126,143142,DeepCBOW,19,3,1,0
127,143142,DeepCBOW,34,4,3,0
128,143142,DeepCBOW,15,3,4,0
129,143142,DeepCBOW,19,3,0,0
130,143142,DeepCBOW,12,1,2,0
131,143142,DeepCBOW,7,4,2,0
132,143142,DeepCBOW,9,4,1,0
133,143142,DeepCBOW,9,3,2,0
134,143142,DeepCBOW,16,4,3,0
135,143142,DeepCBOW,10,3,3,1
136,143142,DeepCBOW,17,4,2,0
137,143142,DeepCBOW,27,3,0,0
138,143142,DeepCBOW,24,3,2,0
139,143142,DeepCBOW,19,4,2,0
140,143142,DeepCBOW,31,3,3,1
141,143142,DeepCBOW,10,1,1,1
142,143142,DeepCBOW,29,3,3,1
143,143142,DeepCBOW,34,3,2,0
144,143142,DeepCBOW,17,3,3,1
145,143142,DeepCBOW,15,3,3,1
146,143142,DeepCBOW,21,4,3,0
147,143142,DeepCBOW,32,4,3,0
148,143142,DeepCBOW,20,3,1,0
149,143142,DeepCBOW,16,3,1,0
150,143142,DeepCBOW,18,3,3,1
151,143142,DeepCBOW,25,3,0,0
152,143142,DeepCBOW,7,3,2,0
153,143142,DeepCBOW,28,1,3,0
154,143142,DeepCBOW,33,4,3,0
155,143142,DeepCBOW,20,4,3,0
156,143142,DeepCBOW,18,4,3,0
157,143142,DeepCBOW,17,1,1,1
158,143142,DeepCBOW,19,4,4,1
159,143142,DeepCBOW,56,3,2,0
160,143142,DeepCBOW,20,3,4,0
161,143142,DeepCBOW,5,3,2,0
162,143142,DeepCBOW,41,3,3,1
163,143142,DeepCBOW,39,3,3,1
164,143142,DeepCBOW,13,4,3,0
165,143142,DeepCBOW,19,3,3,1
166,143142,DeepCBOW,28,2,3,0
167,143142,DeepCBOW,23,3,2,0
168,143142,DeepCBOW,17,3,3,1
169,143142,DeepCBOW,17,3,4,0
170,143142,DeepCBOW,15,3,4,0
171,143142,DeepCBOW,23,2,3,0
172,143142,DeepCBOW,19,4,3,0
173,143142,DeepCBOW,8,4,4,1
174,143142,DeepCBOW,12,4,4,1
175,143142,DeepCBOW,14,3,3,1
176,143142,DeepCBOW,27,4,3,0
177,143142,DeepCBOW,34,2,0,0
178,143142,DeepCBOW,13,3,3,1
179,143142,DeepCBOW,14,4,4,1
180,143142,DeepCBOW,5,4,4,1
181,143142,DeepCBOW,15,0,4,0
182,143142,DeepCBOW,16,4,3,0
183,143142,DeepCBOW,10,3,4,0
184,143142,DeepCBOW,27,3,3,1
185,143142,DeepCBOW,19,3,3,1
186,143142,DeepCBOW,17,2,2,1
187,143142,DeepCBOW,31,3,2,0
188,143142,DeepCBOW,29,4,3,0
189,143142,DeepCBOW,6,4,4,1
190,143142,DeepCBOW,15,4,3,0
191,143142,DeepCBOW,31,3,4,0
192,143142,DeepCBOW,7,4,3,0
193,143142,DeepCBOW,22,3,1,0
194,143142,DeepCBOW,16,4,3,0
195,143142,DeepCBOW,22,3,2,0
196,143142,DeepCBOW,8,3,3,1
197,143142,DeepCBOW,9,4,4,1
198,143142,DeepCBOW,16,3,3,1
199,143142,DeepCBOW,15,3,3,1
200,143142,DeepCBOW,23,4,4,1
201,143142,DeepCBOW,16,3,3,1
202,143142,DeepCBOW,30,2,1,0
203,143142,DeepCBOW,26,3,3,1
204,143142,DeepCBOW,24,3,3,1
205,143142,DeepCBOW,23,3,2,0
206,143142,DeepCBOW,27,4,3,0
207,143142,DeepCBOW,19,3,3,1
208,143142,DeepCBOW,15,3,3,1
209,143142,DeepCBOW,9,3,4,0
210,143142,DeepCBOW,13,3,3,1
211,143142,DeepCBOW,15,3,2,0
212,143142,DeepCBOW,39,2,3,0
213,143142,DeepCBOW,22,3,1,0
214,143142,DeepCBOW,22,3,0,0
215,143142,DeepCBOW,17,2,1,0
216,143142,DeepCBOW,9,4,4,1
217,143142,DeepCBOW,17,3,3,1
218,143142,DeepCBOW,35,4,3,0
219,143142,DeepCBOW,12,3,3,1
220,143142,DeepCBOW,29,4,4,1
221,143142,DeepCBOW,9,4,3,0
222,143142,DeepCBOW,14,3,2,0
223,143142,DeepCBOW,27,2,2,1
224,143142,DeepCBOW,9,4,4,1
225,143142,DeepCBOW,28,3,1,0
226,143142,DeepCBOW,17,2,1,0
227,143142,DeepCBOW,4,1,1,1
228,143142,DeepCBOW,33,3,3,1
229,143142,DeepCBOW,20,4,3,0
230,143142,DeepCBOW,8,4,4,1
231,143142,DeepCBOW,28,3,3,1
232,143142,DeepCBOW,12,3,3,1
233,143142,DeepCBOW,38,4,3,0
234,143142,DeepCBOW,5,4,3,0
235,143142,DeepCBOW,15,1,2,0
236,143142,DeepCBOW,15,4,4,1
237,143142,DeepCBOW,13,4,3,0
238,143142,DeepCBOW,27,2,2,1
239,143142,DeepCBOW,8,4,2,0
240,143142,DeepCBOW,15,4,4,1
241,143142,DeepCBOW,25,3,4,0
242,143142,DeepCBOW,31,4,4,1
243,143142,DeepCBOW,24,2,1,0
244,143142,DeepCBOW,12,4,3,0
245,143142,DeepCBOW,43,3,1,0
246,143142,DeepCBOW,7,1,1,1
247,143142,DeepCBOW,8,2,2,1
248,143142,DeepCBOW,14,4,3,0
249,143142,DeepCBOW,32,3,0,0
250,143142,DeepCBOW,17,3,2,0
251,143142,DeepCBOW,8,2,1,0
252,143142,DeepCBOW,14,3,4,0
253,143142,DeepCBOW,11,4,2,0
254,143142,DeepCBOW,32,2,1,0
255,143142,DeepCBOW,21,3,3,1
256,143142,DeepCBOW,33,3,3,1
257,143142,DeepCBOW,25,4,3,0
258,143142,DeepCBOW,21,2,3,0
259,143142,DeepCBOW,13,4,0,0
260,143142,DeepCBOW,12,3,3,1
261,143142,DeepCBOW,29,2,3,0
262,143142,DeepCBOW,17,2,1,0
263,143142,DeepCBOW,13,3,0,0
264,143142,DeepCBOW,32,3,1,0
265,143142,DeepCBOW,15,1,2,0
266,143142,DeepCBOW,4,2,2,1
267,143142,DeepCBOW,38,3,3,1
268,143142,DeepCBOW,18,4,3,0
269,143142,DeepCBOW,23,4,4,1
270,143142,DeepCBOW,31,4,1,0
271,143142,DeepCBOW,20,2,2,1
272,143142,DeepCBOW,14,4,3,0
