,timestamp,model,example_length,target,prediction,correct
0,144210,PTDeepCBOW,4,2,1,0
1,144210,PTDeepCBOW,21,3,1,0
2,144210,PTDeepCBOW,23,4,3,0
3,144210,PTDeepCBOW,26,2,3,0
4,144210,PTDeepCBOW,9,4,4,1
5,144210,PTDeepCBOW,20,3,1,0
6,144210,PTDeepCBOW,22,3,1,0
7,144210,PTDeepCBOW,7,3,1,0
8,144210,PTDeepCBOW,14,3,4,0
9,144210,PTDeepCBOW,15,4,4,1
10,144210,PTDeepCBOW,13,3,4,0
11,144210,PTDeepCBOW,24,3,3,1
12,144210,PTDeepCBOW,10,4,4,1
13,144210,PTDeepCBOW,12,2,1,0
14,144210,PTDeepCBOW,24,3,4,0
15,144210,PTDeepCBOW,6,2,1,0
16,144210,PTDeepCBOW,8,4,4,1
17,144210,PTDeepCBOW,17,3,3,1
18,144210,PTDeepCBOW,11,4,3,0
19,144210,PTDeepCBOW,9,4,4,1
20,144210,PTDeepCBOW,37,4,4,1
21,144210,PTDeepCBOW,16,2,3,0
22,144210,PTDeepCBOW,23,3,2,0
23,144210,PTDeepCBOW,16,3,2,0
24,144210,PTDeepCBOW,9,3,1,0
25,144210,PTDeepCBOW,14,3,3,1
26,144210,PTDeepCBOW,19,3,3,1
27,144210,PTDeepCBOW,23,1,1,1
28,144210,PTDeepCBOW,22,3,1,0
29,144210,PTDeepCBOW,13,4,2,0
30,144210,PTDeepCBOW,20,4,4,1
31,144210,PTDeepCBOW,6,2,1,0
32,144210,PTDeepCBOW,29,3,1,0
33,144210,PTDeepCBOW,33,3,3,1
34,144210,PTDeepCBOW,17,1,2,0
35,144210,PTDeepCBOW,18,3,3,1
36,144210,PTDeepCBOW,13,3,2,0
37,144210,PTDeepCBOW,42,3,3,1
38,144210,PTDeepCBOW,22,1,1,1
39,144210,PTDeepCBOW,14,2,1,0
40,144210,PTDeepCBOW,20,4,2,0
41,144210,PTDeepCBOW,22,0,1,0
42,144210,PTDeepCBOW,14,4,4,1
43,144210,PTDeepCBOW,16,4,4,1
44,144210,PTDeepCBOW,18,3,3,1
45,144210,PTDeepCBOW,29,2,1,0
46,144210,PTDeepCBOW,13,4,4,1
47,144210,PTDeepCBOW,24,3,3,1
48,144210,PTDeepCBOW,8,4,4,1
49,144210,PTDeepCBOW,38,3,1,0
50,144210,PTDeepCBOW,9,3,3,1
51,144210,PTDeepCBOW,13,3,1,0
52,144210,PTDeepCBOW,20,3,2,0
53,144210,PTDeepCBOW,11,4,4,1
54,144210,PTDeepCBOW,22,3,3,1
55,144210,PTDeepCBOW,24,3,2,0
56,144210,PTDeepCBOW,21,3,2,0
57,144210,PTDeepCBOW,15,2,1,0
58,144210,PTDeepCBOW,12,3,4,0
59,144210,PTDeepCBOW,14,3,2,0
60,144210,PTDeepCBOW,23,2,3,0
61,144210,PTDeepCBOW,20,3,3,1
62,144210,PTDeepCBOW,12,3,4,0
63,144210,PTDeepCBOW,25,2,3,0
64,144210,PTDeepCBOW,23,1,3,0
65,144210,PTDeepCBOW,25,3,3,1
66,144210,PTDeepCBOW,7,4,4,1
67,144210,PTDeepCBOW,26,4,4,1
68,144210,PTDeepCBOW,19,4,4,1
69,144210,PTDeepCBOW,20,4,4,1
70,144210,PTDeepCBOW,24,2,3,0
71,144210,PTDeepCBOW,4,4,4,1
72,144210,PTDeepCBOW,8,4,4,1
73,144210,PTDeepCBOW,23,4,1,0
74,144210,PTDeepCBOW,11,3,2,0
75,144210,PTDeepCBOW,22,1,1,1
76,144210,PTDeepCBOW,24,4,0,0
77,144210,PTDeepCBOW,27,3,4,0
78,144210,PTDeepCBOW,24,3,3,1
79,144210,PTDeepCBOW,17,2,1,0
80,144210,PTDeepCBOW,19,3,4,0
81,144210,PTDeepCBOW,15,4,4,1
82,144210,PTDeepCBOW,19,3,1,0
83,144210,PTDeepCBOW,31,3,4,0
84,144210,PTDeepCBOW,23,4,4,1
85,144210,PTDeepCBOW,20,4,3,0
86,144210,PTDeepCBOW,40,4,4,1
87,144210,PTDeepCBOW,9,4,3,0
88,144210,PTDeepCBOW,37,3,4,0
89,144210,PTDeepCBOW,21,3,2,0
90,144210,PTDeepCBOW,34,1,3,0
91,144210,PTDeepCBOW,16,3,1,0
